Barcode,Name,Price
085000025758,E&J Vanilla 750ml,$11.99 
080480025403,Bacardi Gold 750ml,$16.99 
088076163164,Johnnie Walker Red Label 1.75L,$47.99 
085000024850,New Amsterdam Apple 200ml,$4.59 
080480280055,Grey Goose Vodka 50 ml ,$4.99 
087872633406,Stella Rosa Red 750ml,$14.99 
036000291452,Big Anls,$11.99 
080660956152,✨12pk Corona Extra Bottle - 12oz,$22.99 
695521104001,Claude Chatelier VSOP 750ml,$29.99 
700118828670, ✨Baron Vodka - 1 Liter      ,$6.99 
619947000013,Titos 1L,$27.99 
080432110829,Martell Blue Swift 750ml,$60.99 
08588005,New Amsterdam Vodka 50 ml ,$1.29 
080432500149,Jameson 375ml,$19.99 
085000003824,E&J VSOP 1.0 Ltr ,$15.99 
088004022587,Rich & Rare Apple 1.75L,$17.99 
015918227227,Viuda de Sanchez Sangrita 1L,$8.99 
080660954080,Coronita Extra 7oz 24pk BT,$28.99 
089000246311,Kentucky Gentleman 750ml Plastic,$6.99 
721059000635,Wray&Nephew White 750ml,$29.99 
082000782919,Crown Royal Peach 750ml,$35.99 
085000025741,E&J Vanilla 375ml,$5.99 
080686001607,Jim Beam 375ml,$9.99 
850015640025,Teremana Silver 750ml,$33.99 
080432401262,Seagram Gin 1.75L,$25.99 
085592104374,Mccormick Whiskey 200ml,$2.99 
038900009632,Dole Pineapple - 8.4oz,$1.79 
080660957159,✨12pk Modelo Especial Beer Can - 12oz,$18.39 
088004045623,✨Paul Masson Peach Brandy - 750ml              ,$10.99 
684746401880,✨Clubtails Pink Lemonade Cocktail - 16oz          ,$2.39 
031200200075,Ocean Spray Cranberry Juice 64oz,$5.99 
086036815597,Christian Bro VS 750ml,$10.99 
611269818994,Red Bull 12oz,$3.99 
021296620055,Paul Masson Red Berry 375ml ,$5.99 
080660246314,✨Kentucky Gentleman Whiskey - 1.75L,$13.99 
071610303065,✨Backwoods Russian Cream Cigars - Single Pack |,$1.79 
080660956053,Corona Extra 12oz 6pk BT,$11.99 
088004060435,Taaka Gin 1L,$7.99 
811538010214,1800 Gold 50ml ,$3.99 
088004034429,✨Torada Silver Tequila - 1L     ,$9.99 
856724006022,✨Casamigos Añejo Tequila - 375ml      ,$26.99 
081753825492,Hennessy VSOP 375ml,$33.99 
070330600065,Bic Lighter,$2.29 
811538010771,Jose Cuervo Silver 1.75L,$44.99 
080480172022,Cazadores Silver 750ml,$24.99 
700118827611,✨Tresor Federal VSOP Brandy - 1.75L       ,$18.99 
072890000163,Heineken 12pk Btls,$22.99 
087000007246,Crown Royal 1L,$40.99 
085000021651,New Amsterdam Peach 1.75L,$22.99 
088110150631,✨Hennessy VS Cognac - 375ml    ,$22.99 
021296620017,Paul Masson Peach 375ml,$5.99 
088004027483,Miles Gin 1.75L,$13.99 
082000776598,Crown Royal Vanilla 750ml,$32.99 
085000020388,New Amsterdam Red Berry 100 ml ,$2.29 
01239439,Camel Crush Menthol Silver,$9.99 
085000004180,E&J Brandy VS 1L,$13.99 
080480015305,Bacardi Superior 1L,$20.99 
042037111137,BC ,$1.49 
087236992040,St Remy VSOP 1L,$21.99 
082000791966,✨Deleon Anejo Tequila - 750ml,$59.99 
02895428,Marlboro Black Menthol,$9.99 
085246185001,Makers Mark 375ml,$18.99 
736040012849,Hpnotiq 200ml,$10.99 
021296620277,Paul Masson Apple 750ml,$10.99 
085000021354,✨New Amsterdam Coconut Vodka - 375ml,$6.99 
736040011064,Hpnotiq 750ml,$27.99 
080480280024,Grey Goose 750ml,$33.99 
085000034170,New Amsterdam PassionFruit 200 ml ,$4.59 
088076181175,Buchanans 200ml,$12.99 
5060783280742,✨Jorvik Vodka - 1.75L     ,$9.99 
085592104312,Mccormick Whiskey 1.75L,$16.99 
088004012724,Platinum 7x 1.75L,$17.99 
193968016890,Minute Maid Orange Juice Beverage 52oz,$5.99 
080660957210,Modelo Especial Can 24oz,$3.59 
744607069205,El Jimador Repo 750ml,$23.99 
811538010801,Jose Cuervo Repo 1L,$29.99 
